domain,checked_url,final_url,http_status,fetch_error,shopify_detected,shopify_confidence,shopify_signals,checked_at
tenpercentclub.net,https://www.tenpercentclub.net/,https://www.tenpercentclub.net/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.232503+00:00
the-beauty-within-7078.myshopify.com,https://the-beauty-within-7078.myshopify.com,https://the-beauty-within-7078.myshopify.com,429,HTTPError: 429,1,high,myshopify_domain,2026-03-16T14:32:20.251418+00:00
thecollagen.co,https://www.thecollagen.co/,https://www.thecollagen.co/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.270030+00:00
thelyferx.com,https://www.thelyferx.com,https://www.thelyferx.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.333937+00:00
theotstore.com.au,https://theotstore.com.au/,https://theotstore.com.au/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.338755+00:00
thepearlsource.com,https://www.thepearlsource.com/,https://www.thepearlsource.com/,200,,0,none,,2026-03-16T14:32:20.344159+00:00
theplotarmour.store,https://www.theplotarmour.store,https://www.theplotarmour.store,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.361406+00:00
thetoybox.co.nz,https://www.thetoybox.co.nz/,https://www.thetoybox.co.nz/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.374299+00:00
thexkind.com,https://thexkind.com,https://thexkind.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.399498+00:00
tinexylpro.co.uk,https://tinexylpro.co.uk/,https://tinexylpro.co.uk/,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.405969+00:00
trnrskin.com,https://trnrskin.com,https://trnrskin.com,429,HTTPError: 429,0,none,,2026-03-16T14:32:20.413748+00:00
tupperware-malaysia-dev.myshopify.com,https://tupperware-malaysia-dev.myshopify.com,https://tupperware-malaysia-dev.myshopify.com,429,HTTPError: 429,1,high,myshopify_domain,2026-03-16T14:32:20.461156+00:00
